"Have not resigned, not unhappy: Sena’s Abdul Sattar",2020-01-06T02:35:35+05:30,Express News Service,"Abdul Sattar, Uddhav Thackeray",https://indianexpress.com/article/india/have-not-resigned-not-unhappy-senas-abdul-sattar-6201383/
"Pune: 29-year-old rams his bike into divider on Alandi Road, killed",2020-01-06T06:07:28+05:30,Express News Service,,https://indianexpress.com/article/cities/pune/pune-man-rams-bike-into-divider-on-alandi-road-killed-6201515/
"Delhi: At Lajpat Nagar, Amit Shah hands out pamphlets on citizenship law",2020-01-06T02:12:43+05:30,Abhinav Rajput,amit shah,https://indianexpress.com/article/cities/delhi/delhi-at-lajpat-nagar-amit-shah-hands-out-pamphlets-on-citizenship-law-6201376/
Mumbai: Homemaker held for circulating obscene video of woman who had affair with her husband,2020-01-06T06:53:00+05:30,Express News Service,Mumbai,https://indianexpress.com/article/cities/mumbai/mumbai-homemaker-held-for-circulating-obscene-video-of-woman-affair-with-husband-6201377/
"Madhya Pradesh: FIR against Kailash Vijayvargiya, 350 others",2020-01-06T02:10:19+05:30,Express News Service,"Kailash Vijayvargiya, Kamal Nath",https://indianexpress.com/article/india/madhya-pradesh-fir-against-kailash-vijayvargiya-350-others-6201369/
"Gujarat: Cops tried to disrupt event at IIM-A, had to shift venue, say participants",2020-01-06T02:05:43+05:30,Express News Service,"CAA protest, Citizenship Amendment Act, IIM AHMEDABAD",https://indianexpress.com/article/cities/ahmedabad/gujarat-cops-tried-to-disrupt-event-at-iim-a-caa-protest-new-citizenship-law-6201290/
Delhi: Protest at ITO over JNU violence,2020-01-06T02:04:57+05:30,Ananya Tiwari,JNU,https://indianexpress.com/article/cities/delhi/delhi-protest-at-ito-over-jnu-violence-6201367/
Pune: Four Solapur wrestlers clinch gold at 63rd Maharashtra Kesari Wrestling Championships,2020-01-06T06:07:21+05:30,Express News Service,,https://indianexpress.com/article/cities/pune/pune-four-solapur-wrestlers-clinch-gold-at-63rd-maharashtra-kesari-wrestling-championships-6201519/
"Uttar Pradesh: Madrasa inmates say police beat them, forced them to chant ‘Jai Shri Ram’",2020-01-06T11:32:43+05:30,Aranya Shankar,"CAA protests, Citizenship Amendment Act, Muzaffarnagar",https://indianexpress.com/article/india/muzaffarnagar-uttar-pradesh-madrasa-inmates-say-police-beat-them-forced-them-to-chant-jai-shri-ram-6201343/
"Haryana CM Manohar Lal Khattar kicks off BJP’s awareness campaign on CAA in Haryana, Punjab",2020-01-06T06:06:37+05:30,,"Citizenship Amendment Act, Manohar Lal Khattar, National Register of Citizens",https://indianexpress.com/article/cities/city-others/haryana-cm-manohar-lal-khattar-kicks-off-bjps-awareness-campaign-on-caa-in-haryana-punjab-6201562/
"After Kanpur, two shot in December 20 Bijnor violence to be probed as ‘accused’",2020-01-06T07:02:45+05:30,Krishn Kaushik,"CAA protests, Citizenship Amendment Act, NRC",https://indianexpress.com/article/india/after-kanpur-two-shot-in-december-20-bijnor-violence-to-be-probed-as-accused-6201355/
152 mohalla clinics opened in a day: Delhi CM,2020-01-06T01:56:47+05:30,Express News Service,,https://indianexpress.com/article/cities/delhi/152-mohalla-clinics-opened-in-a-day-delhi-cm-arvind-kejriwal-aap-6201359/
"Pune: High Capacity Mass Transit Route should be redesigned to suit present needs, say activists",2020-01-06T06:07:53+05:30,Express News Service,HCMTR,https://indianexpress.com/article/cities/pune/pune-high-capacity-mass-transit-route-should-be-redesigned-say-activists-6201496/
Pune: Five injured after cylinder explosion at half-marathon,2020-01-06T06:07:46+05:30,Express News Service,,https://indianexpress.com/article/cities/pune/pune-five-injured-after-cylinder-explosion-at-half-marathon-6201500/
