‘Police brutality videos need verification’ — UP DGP says CAA protesters used illegal arms," 28 December, 2019 11:51 am IST",Fatima Khan,"Citizenship Amendment Act protests, Uttar Pradesh Police",https://theprint.in/india/police-brutality-videos-need-verification-up-dgp-says-caa-protesters-used-illegal-arms/341894/
"At 2.4 degrees, Delhi sees coldest day of the season, 4 flights diverted due to fog"," 28 December, 2019 10:57 am IST",PTI,"Delhi, PTI wire, winters",https://theprint.in/india/at-2-4-degrees-delhi-sees-coldest-day-of-the-season-4-flights-diverted-due-to-fog/341892/
2 found dead after Saki Naka garment store fire in Mumbai," 28 December, 2019 10:45 am IST",PTI,"Mumbai fire, PTI wire",https://theprint.in/india/2-found-dead-after-saki-naka-garment-store-fire-in-mumbai/341889/
"Arun Jaitley’s close friends working to revive OPIUM — to ‘discuss, disagree, debate’ again"," 28 December, 2019 10:18 am IST",Maneesh Chhibber,"Arun Jaitley, CAA, dissent, Opium",https://theprint.in/india/arun-jaitleys-close-friends-working-to-revive-opium-to-discuss-disagree-debate-again/341749/
"Army chief General Rawat says armed forces have respect for human rights, laws"," 27 December, 2019 7:57 pm IST",PTI,"Citizenship Amendment Act, General Bipin Rawat, Indian Army, PTI wire",https://theprint.in/india/army-chief-general-rawat-says-armed-forces-have-respect-for-human-rights-laws/341752/
‘He didn’t answer CAA-NRC questions’ — why JU students ‘rusticated’ Chancellor Dhankhar," 27 December, 2019 6:20 pm IST",Kritika Sharma,"AMU, Citizenship Amendment Act protests, Jadavpur University, Jagdeep Dhankhar",https://theprint.in/india/education/he-didnt-answer-caa-nrc-questions-why-ju-students-rusticated-chancellor-dhankhar/341637/
Protesters agitating against ‘police atrocities’ detained outside Delhi’s UP Bhawan," 27 December, 2019 6:00 pm IST",PTI,"CAA protests, PTI wire, UP Police",https://theprint.in/india/protesters-agitating-against-police-atrocities-detained-outside-delhis-up-bhawan/341655/
"Hundreds, including political leaders, hold CAA protest at Jama Masjid in Delhi"," 27 December, 2019 5:18 pm IST",PTI,"Alka Lamba, CAA protests, Jama Masjid, PTI wire",https://theprint.in/india/hundreds-including-political-leaders-hold-caa-protest-at-jama-masjid-in-delhi/341642/
"In surprise order, Mamata makes ex-top cop Rajeev Kumar IT secretary — an IAS-cadre post"," 27 December, 2019 4:42 pm IST",Madhuparna Das,"Mamata Banerjee, Rajeev Kumar, West Bengal",https://theprint.in/india/governance/in-surprise-order-mamata-makes-ex-top-cop-rajeev-kumar-it-secretary-an-ias-cadre-post/341583/
"Norwegian woman, asked to leave India, ‘violated’ visa rules by protesting against CAA"," 27 December, 2019 3:54 pm IST",Rohini Swamy,"CAA protests, Citizenship Amendment Act protests, Kerala police",https://theprint.in/india/norwegian-woman-asked-to-leave-india-violated-visa-rules-by-protesting-against-caa/341559/
"Kashmir panchayat elections for 12,565 vacant seats get Modi govt approval"," 27 December, 2019 2:56 pm IST",Azaan Javaid,"J&K Panchayat polls, Jammu and Kashmir, National Conference, Panchayat elections, PDP",https://theprint.in/india/governance/kashmir-panchayat-elections-for-12565-vacant-seats-get-modi-govt-approval/341480/
"Indian Railways deems 2019 safest year in its history, records zero passenger deaths"," 27 December, 2019 2:39 pm IST",PTI,"Indian Railways, Passengers, PTI wire, Railways, train accidents",https://theprint.in/india/indian-railways-deems-2019-safest-year-in-its-history-records-zero-passenger-deaths/341499/
